Telecommunications,Utilities,Consumer products,Energy,Plantations,ESG-rated year,ROA,ROE,MV,ESG,DV,Size,Growth,Leverage,GovOwn,FamilyOwn
0,0,0,1,0,2021,5.20137257,0.1614,9.44346812,67.47,1,23.21402582,-0.03251607,176.2347052,0,0
0,0,0,1,0,2020,0.67262481,0.0394,9.3138806,68.14,1,23.26073078,0.07947004,265.4321913,0,0
0,0,0,1,0,2019,0.2585241,0.12419,9.49339644,68.61,1,23.3608337,-0.14389068,295.3369809,0,0
0,0,0,1,0,2018,-13.49294133,-0.01351,8.95903916,60.87,1,23.46637213,0.00691428,308.8119868,0,0
0,0,0,1,0,2017,1.83949057,0.06471,9.65202343,55.58,1,23.658983,0.8234022,209.61436,0,0
0,0,0,1,0,2016,-9.98455087,-0.02228,9.55011737,39.91,0,23.81839669,-0.39561937,233.5167187,0,0
0,0,0,1,0,2015,-1.48673636,0.02704,9.77696217,38.37,0,23.61766497,-0.09076939,110.6386561,0,0
0,0,0,1,0,2014,1.92906278,0.03961,9.8057885,31.69,0,23.39409104,0.15645652,92.63671882,0,0
0,0,0,1,0,2013,5.52876649,0.10638,10.07240832,43.95,0,22.89911525,0.24941176,86.70208065,0,0
0,0,0,1,0,2012,5.59668213,0.10603,10.06662738,41.67,0,22.65909087,0.07467342,71.15059578,0,0
0,0,0,1,0,2021,6.01367133,0.1994,10.17003476,62.67,1,22.90335047,0.4404553,42.99725679,0,0
0,0,0,1,0,2020,7.16101329,0.1192,10.28950553,68.04,1,22.79985456,-0.30108038,38.50117568,0,0
0,0,0,1,0,2019,9.32523672,0.15289,10.28922464,64.89,1,22.69596104,-0.03478175,46.72737925,0,0
0,0,0,1,0,2018,8.4484352,0.14696,10.24416594,63.04,1,22.62683185,-0.2327946,44.16408703,0,0
0,0,0,1,0,2017,8.67337901,0.13453,10.15107927,68.01,1,22.57411683,-0.08320503,45.99603364,0,0
0,0,0,1,0,2016,7.49752286,0.13414,9.9176834,60,1,22.4840003,0.3386888,45.75675417,0,0
0,0,0,1,0,2015,7.75770547,0.13423,9.91974823,63.46,1,22.14306412,0.07476095,36.23922605,0,0
0,0,0,1,0,2014,8.2898715,0.15547,9.8713857,67.45,1,22.01325247,-0.07583484,43.38497098,0,0
0,0,0,1,0,2013,7.51604864,0.14826,9.9432271,71.23,1,21.90201683,0.14058323,61.5740147,0,0
0,0,0,1,0,2012,7.58352355,0.15184,9.76451264,71.23,1,21.76610992,0.3693041,59.09277777,0,0
0,0,0,1,0,2021,-8.38808044,-0.1425,8.80071708,46.75,0,21.94411552,-0.06346513,21.71521864,1,0
0,0,0,1,0,2020,-12.61047514,-0.04469,8.8573325,44.12,0,21.86950825,0.55194291,13.11198537,1,0
0,0,0,1,0,2019,-1.06948245,-0.01429,9.14363924,39.72,0,21.89144865,0.03611316,7.98712456,1,0
0,0,0,1,0,2018,-3.78208105,-0.04924,8.94051648,34.13,0,21.8835397,0.0187565,2.00883148,1,0
0,0,0,1,0,2017,0.9287219,0.01258756,9.12057393,39.96,0,21.94292782,-0.19716561,0,1,0
0,0,0,1,0,2016,-3.39693397,0.0239,9.16554108,43.01,0,22.03863734,-0.51554209,0.78876266,1,0
0,0,0,1,0,2015,1.01184113,0.05409,9.20411998,38.73,0,22.20314799,-0.08941735,0,1,0
0,0,0,1,0,2014,2.75424296,0.04981,9.45453998,44.64,0,22.21927253,-0.06379333,10.06493593,1,0
